Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,FacilityAge,FacilityCondition,FacilityUpgradeAge,LGA
YARRAC11011,Muscle & Body Shape Gym,25,Wangaratta,Street,Richmond,3121.0,-37.823772999999996,144.992693,17815,Gym / Fitness,,,,Yarra
YARRAC11014,Pisces Speacilised Fitness,45,Bridge,Road,Richmond,3121.0,-37.817527,144.991455,17821,Gym / Fitness,,,,Yarra
YARRAC11042,Positive Edge Personal Training,83,Alexandra,Parade,Fitzroy,3065.0,-37.793324,144.97821000000002,17858,Gym / Fitness,,,,Yarra
YARRAC11060,Richmond  studio and Aerial Divas,252,Church,Street,Richmond,3121.0,-37.834325,144.996591,17876,Gym / Fitness,,,,Yarra
YARRAC11023,Richmond Boxing Club,,Gleadell,Street,Richmond,3121.0,-37.81838,145.001525,17834,Gym / Fitness,,,,Yarra
YARRAC11013,Richmond Recreation Centre,,Gleadell,Street,Richmond,3121.0,-37.817688000000004,145.002381,17820,Gym / Fitness,,,,Yarra
YARRAC11010,Richmond Recreation Centre,,Gleadell,Street,Richmond,3121.0,-37.817218,145.000351,17813,Gym / Fitness,51 Years +,4. Good,6 - 10 Years,Yarra
YARRAC11043,Simon's Personal Training Studio,621,Brunswick,Street,Fitzroy,3065.0,-37.804574,144.97740100000001,17859,Gym / Fitness,,,,Yarra
YARRAC11061,Skulpt Personal Training Richmond Personal Training,103,Murphy,Street,Richmond,3121.0,-37.81816,145.012396,17877,Gym / Fitness,,,,Yarra
YARRAC11062,Space Health Club,620,Victoria,Street,Richmond,3121.0,-37.809937,144.994548,17878,Gym / Fitness,,,,Yarra
YARRAC11063,Srpt Elysium Health & Lifestyle,374,Bridge,Road,Richmond,3121.0,-37.819289000000005,145.00405,17879,Gym / Fitness,,,,Yarra
YARRAC11022,Stanton Street Hall,,Stanton,Street,Collingwood,3066.0,-37.801956,144.98816399999998,17832,Gym / Fitness,,,,Yarra
YARRAC11053,The Spin Room,732,Nicholson,Street,Fitzroy North,3068.0,-37.782247,144.97799999999998,17869,Gym / Fitness,,,,Yarra
YARRAC11000,Time 4 Fitness,135,Johnston,Street,Fitzroy,3065.0,-37.79807,144.975969,17799,Gym / Fitness,,,,Yarra
YARRAC11064,Unique Fitness Studio,33,Waverley,Street,Richmond,3121.0,-37.825489000000005,144.996172,17880,Gym / Fitness,,,,Yarra
YARRAC11044,Vibes Fitness,106,Leicester,Street,Fitzroy,3065.0,-37.795572,144.97979899999999,17860,Gym / Fitness,,,,Yarra
YARRAC11002,Vigor Health & Fitness,393,Smith,Street,Fitzroy,3065.0,-37.797612,144.98429299999998,17802,Gym / Fitness,,,,Yarra
YARRAC11045,Vigor Health & Fitness,393,Smith,Street,Fitzroy,3065.0,-37.797612,144.98429299999998,17861,Gym / Fitness,,,,Yarra
YARRAC11058,Zap Fitness Richmond,509-511,Bridge,Road,Richmond,3121.0,-37.819201,145.007592,17874,Gym / Fitness,,,,Yarra
YARRAC10974,Burnley Golf Course,,Swan,Street,Burnley,3121.0,-37.828576,145.020462,17762,Golf,26 - 50 Years,4. Good,1 - 5 Years,Yarra
YARRAC10991,Latrobe Golf Course,,Farm,Road,Fairfield,3078.0,-37.786367,145.034196,17787,Golf,,,,Yarra
YARRAC10966,Yarra Bend Golf Course,,Yarra Bend,Road,Abbotsford,3067.0,-37.795643,145.00771799999998,17748,Golf,26 - 50 Years,4. Good,1 - 5 Years,Yarra
YARRAC11047,Aiki No Michi Aikido,207,Johnston,Street,Fitzroy,3065.0,-37.79807,144.975969,17863,Martial Arts,,,,Yarra
YARRAC11036,Australian Kung Fu Acadamy,478,Smith,Street,Collingwood,3066.0,-37.808727000000005,144.98258700000002,17852,Martial Arts,,,,Yarra
YARRAC10982,Australian Kung Fu Acadamy,478,Smith,Street,Collingwood,3066.0,-37.808727000000005,144.98258700000002,17774,Martial Arts,,,,Yarra
